#Flight Num, Source, Destination, Date, Time, Duration, Seats Avail, Price
1234,yyc,ybw,20170401,08:30:00,00:15:00,4,150
2345,Calgary,Springbank,20170402,08:30:00,00:15:00,4,150
3456,yyc,ybw,20170403,08:30:00,00:15:00,4,150
4567,yyc,ybw,20170404,08:30:00,00:15:00,4,150
5678,yyc,ybw,20170405,08:30:00,00:15:00,4,150
6789,yyc,ybw,20170406,08:30:00,00:15:00,4,150
7890,yyc,ybw,20170407,08:30:00,00:15:00,4,150
1234,ybw,yyc,20170401,11:30:00,00:15:00,4,150
2345,Springbank,Calgary,20170402,11:30:00,00:15:00,4,150
3456,ybw,yyc,20170403,11:30:00,00:15:00,4,150
4567,ybw,yyc,20170404,11:30:00,00:15:00,4,150
5678,ybw,yyc,20170405,11:30:00,00:15:00,4,150
6789,ybw,yyc,20170406,11:30:00,00:15:00,4,150
7890,ybw,yyc,20170407,11:30:00,00:15:00,4,150
